SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Frankston,1236,3954.175385,1019,14954.82461,217,2830.824615,1304,14954.82461,715,5513.000002
Frankston South,1007,3640.77751,258,11276.22249,44,2135.22249,358,11276.22249,582,4892.000001
Seaford (Vic.),965.9477741,3375.37478,572.8188878,11430.8077,125.4181482,1911.798282,785.8017067,11430.8077,556.856578,4188.054017
Skye - Sandhurst,497.3644396,2606.829644,203.6704188,7701.830486,38.62714839,1407.201462,275.4977608,7701.830485,276.7746914,2984.186638
Dromana,465,1683.46861,258,5418.53139,36,788.5313901,329,5418.53139,265,2547
Flinders,132.4735269,1250.626557,62.55033677,3259.419207,7.848521344,542.6416527,84.9067309,3259.419208,75.63120567,1452.452117
Hastings - Somers,1228,4159.408176,703,13654.59182,158,3032.591824,905,13654.59182,698,5320.000001
Mornington,912.0902388,4581.426361,504.9673455,14289.61946,95.59515449,2468.435122,669.7284059,14289.61946,539.8314607,6186.693469
Mount Eliza,286,3940.09145,129,10665.90855,null,#VALUE!,178,10665.90855,164,4792
Mount Martha,424.5264731,4007.774941,200.4496632,10445.17929,25.15147866,1738.956849,272.0932691,10445.17929,242.3687943,4654.547883
Point Nepean,841,2772.988701,429,9051.011299,54,1239.011299,588,9051.0113,479,4215.999998
Rosebud - McCrae,1082,3217.770408,764,10733.22959,140,1729.229592,974,10733.22959,622,5216.999999
Somerville,709.9097612,3565.874467,393.0326545,11122.07971,74.40484551,1921.264052,521.2715941,11122.07971,420.1685393,4815.306531
