SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Keilor,157,1435.333334,151,5379.666667,null,#VALUE!,199,5379.666666,95,2412
Keilor East,626.2631883,4335.858044,495.7269406,15896.48334,64.49112236,2608.981132,644.1342222,15896.48334,366.7446959,7055.173388
Niddrie - Essendon West,149,1351.69437,108,4305.30563,null,#VALUE!,141,4305.30563,91,1713
Strathmore,149,2034.350902,111,6115.6491,null,#VALUE!,144,6115.649098,88,2438
Gisborne,238.6118143,2709.707596,150.6698312,7510.011812,31.97890295,1365.757593,190.6434599,7510.011812,126.0706751,3098.878692
Macedon,68.56562292,778.6403611,43.29530313,2158.0182,9.189207195,392.4534097,54.78181213,2158.0182,36.22668221,890.4695204
Riddells Creek,80.82256274,917.8318048,51.03486565,2543.790225,10.83188985,462.6092344,64.57472796,2543.790225,42.70264268,1049.651788
Romsey,348,2051.161812,185,5703.838187,29,908.8381877,243,5703.838187,178,2370
Glenroy - Hadfield,1586,5925.401905,932,18932.5981,130,3357.598096,1160,18932.5981,842,7136.000003
Meadow Heights,2283,4163.600601,1024,10438.3994,155,2426.399399,1254,10438.3994,1088,3825.000001
Melbourne Airport,5.718954248,29.3977334,2.43627451,106.6676261,0.411764706,25.01239732,3.236928105,106.6676261,2.870915033,38.21405229
Pascoe Vale,770,4095.428178,479,14724.57182,64,2327.571821,600,14724.57182,412,5473
Sunbury,532.8855422,2843.433953,275.358488,8782.318002,54.18012591,1738.215809,367.2589547,8782.318,298.6765169,3486.045317
Sunbury - South,1021.114458,5448.583776,527.641512,16828.66427,103.8198741,3330.766465,703.7410453,16828.66427,572.3234831,6679.954683
Tullamarine,298.3902721,1077.656345,192.224461,4428.756772,31.36717146,791.5053596,250.1330852,4428.756771,161.125385,1771.038758
Bayswater,482.4987462,2101.285129,307.8329613,7804.804342,52.02810614,1325.13729,413.4376292,7804.804343,280.5801438,3131.906175
Broadmeadows,1839,2942.595041,1007,7963.404961,144,1689.404959,1209,7963.40496,868,2763
Boronia - The Basin,1075.501254,4683.814846,686.1670387,17397.09569,115.9718939,2953.762736,921.5623708,17397.09568,625.4198562,6981.093825
Croydon Hills - Warranwood,605.6846784,4074.184896,195.7435794,12482.29476,32.95346455,2638.435833,275.4909636,12482.29476,346.0113778,5004.313127
Campbellfield - Coolaroo,2358,4066.276033,1005,10247.72397,159,2302.723967,1263,10247.72397,1083,3897
Craigieburn - Mickleham,3365,11086.01158,1194,28254.98843,207,5453.988426,1553,28254.98843,1659,9316.000002
Gladstone Park - Westmeadows,814.6097279,2942.017297,524.775539,12090.56959,85.63282854,2160.820998,682.8669148,12090.56959,439.874615,4834.961242
Greenvale - Bulla,494.2810458,2540.804102,210.5637255,9219.130539,35.58823529,2161.785768,279.7630719,9219.130538,248.129085,3302.785948
Rowville - North,213.6452548,1851.426496,117.7431562,5700.019906,20.64972723,1231.935178,160.6310513,5700.01991,120.3243721,2236.722858
Roxburgh Park - Somerton,1927,6578.011204,1034,14935.9888,163,3464.988795,1347,14935.9888,950,4964.000001
Ferntree Gully,930,5542.341052,649,19355.65895,124,3411.658948,864,19355.65895,531,7802
Knoxfield - Scoresby,477,2709.361893,286,8964.638105,40,1612.638106,383,8964.638105,280,3777
Lysterfield,173.1901509,1500.846974,95.44773185,4620.684455,16.73956849,998.6603241,130.2145279,4620.684454,97.54017791,1813.18499
Ringwood North,313.3153216,2107.539775,101.2564206,6456.980567,17.04653545,1364.839496,142.5090364,6456.980567,178.9886222,2588.686873
Rowville - Central,402.8323586,3490.901321,222.0070526,10747.50041,38.9354696,2322.838173,302.873028,10747.50041,226.8739863,4217.38524
Rowville - South,286.3322357,2481.323952,157.8020593,7639.296485,27.67523468,1651.06758,215.2813928,7639.296482,161.2614636,2997.70691
Wantirna,342.8090513,2349.923193,225.6018436,9546.608397,32.16588785,1914.921033,312.4056779,9546.608396,204.4516707,3862.550314
Wantirna South,435.1909487,2983.192246,286.3981564,12119.27616,40.83411215,2430.963528,396.5943221,12119.27616,259.5483293,4903.449687
Donvale - Park Orchards,263.7351892,3201.567572,148.8827681,10399.6329,20.05359733,2110.812666,198.1052343,10399.6329,150.7058224,4305.44658
Warrandyte - Wonga Park,170.2648108,2066.90013,96.11723192,6713.8994,12.94640267,1362.71963,127.8947657,6713.899398,97.29417761,2779.553421
Bayswater North,385.1815348,2406.299182,269.9659438,7909.637955,40.66432626,1364.940557,357.3189409,7909.637955,224.030316,3111.197481
Croydon,1086,5729.999399,807,20147.0006,124,3425.000602,1057,20147.0006,622,8051
Ringwood,506,3145.052024,514,10998.94798,76,1849.947977,640,10998.94798,289,4272
Ringwood East,637.8184652,3984.568086,447.0340562,13097.49477,67.33567374,2260.192174,591.6810591,13097.49478,370.969684,5151.802519
Chirnside Park,309.8510138,1926.098459,178.2704463,6254.118112,32.20852601,1250.810727,240.1907133,6254.118111,174.0259118,2546.221304
Healesville - Yarra Glen,592,2705.517407,302,8393.482593,39,1393.482593,392,8393.482593,329,3521
Kilsyth,327,1633.948435,199,5678.051565,39,1067.051565,254,5678.051565,187,2327
Lilydale - Coldstream,656.5687286,4061.293236,294.6414143,12032.78575,62.3279915,2411.610335,404.4236721,12032.78575,370.4265858,4971.365594
Monbulk - Silvan,192.0553097,1269.881428,104.0144811,3768.87722,23.77473854,710.4799953,140.4195495,3768.877221,109.5866854,1551.673169
Nunawading,291,2266.112811,207,7561.887189,26,1181.88719,257,7561.88719,180,2933
Vermont,204.9955993,2004.520754,135.6588525,6729.990939,16.71755556,1194.561639,184.1671695,6729.99094,123.8743461,2791.831778
Vermont South,236.3598018,2311.211215,156.4145747,7759.675473,19.27533143,1377.328846,212.3446348,7759.675474,142.827046,3218.980349
Belgrave - Selby,296.8027119,2098.703401,205.7149831,7067.38311,28.9979661,1266.084125,266.7812881,7067.383107,170.9174237,2810.073491
Berwick - South,784,7013.761551,360,15844.23845,86,2838.238448,505,15844.23845,421,6277
Montrose,228.5936465,1420.985734,131.5196323,4613.997056,23.76195037,922.7898973,177.2015213,4613.997055,128.3882124,1878.483487
Mooroolbark,702.5553397,4367.230369,404.2099215,14180.57027,73.02952363,2836.084815,544.6077653,14180.57027,394.5858757,5773.295209
Mount Dandenong - Olinda,284.799661,2013.829366,197.3956271,6781.56982,27.82525424,1214.882194,255.992339,6781.569821,164.005322,2696.430813
Clayton South,439.3008975,1975.145148,271.5678275,8373.885427,29.95233392,1549.246144,359.428007,8373.885426,260.5853051,3182.934685
Mount Evelyn,324.9446903,2148.554123,175.9855189,6376.687229,40.22526146,1202.084453,237.5804505,6376.687229,185.4133146,2625.326831
Endeavour Hills,1366,5240.632823,759,18379.36718,132,3697.367176,967,18379.36717,719,7183.000001
Upwey - Tecoma,288.3976271,2039.270723,199.8893898,6867.243582,28.17677966,1230.230192,259.2263729,6867.243583,166.0772542,2730.495694
Wandin - Seville,270.4312714,1672.788614,121.3585857,4956.132402,25.6720085,993.3078145,166.5763279,4956.1324,152.5734142,2047.634406
Yarra Valley,968,3509.607174,497,10514.39283,77,1860.392827,644,10514.39283,527,4282.000001
Beaconsfield - Officer,286.8199781,1989.373085,123.9618869,5828.76398,20.55490472,1108.725399,178.0370978,5828.763982,154.3199,2204.434473
Bunyip - Garfield,231,1967.320951,163,5287.67905,31,1033.679049,227,5287.67905,119,2205
Emerald - Cockatoo,620.1800219,4301.546398,268.0381131,12603.31654,44.44509528,2397.355117,384.9629022,12603.31654,333.6801,4766.565527
Koo Wee Rup,377,1688.442553,128,4407.557446,27,814.5574468,182,4407.557447,201,1784.000001
Pakenham - North,1025.35263,4009.810863,399.5750088,9705.582712,98.96364278,1844.6699,549.1366043,9705.582714,532.3946347,3443.26509
Pakenham - South,1730.64737,6767.982468,674.4249912,16381.62395,167.0363572,3113.536767,926.8633957,16381.62396,898.6053653,5811.73491
Berwick - North,724.5502805,4517.017703,296.8220687,15154.67463,53.27575592,3305.385431,403.3735805,15154.67463,379.7800315,5995.805788
Doveton,1192,2397.413793,638,7131.586207,123,1409.586207,817,7131.586206,574,2596
Hallam,739,2270.097826,388,7200.902174,77,1398.902174,522,7200.902174,378,2789
Narre Warren,1411,6186.610595,751,18377.38941,141,3736.389407,984,18377.38941,726,6994.000002
Narre Warren North,227.4497195,1417.975311,93.17793132,4757.332357,16.72424408,1037.621555,126.6264195,4757.332358,119.2199685,1882.194212
Cranbourne,1253.443105,5161.51137,750.568808,14192.6845,166.0369802,2796.695531,992.1390046,14192.6845,651.8992911,4940.280639
Cranbourne East,484.1052538,2359.821873,173.3397313,6454.48514,37.01334643,1095.978691,239.3041111,6454.485142,259.4598938,2299.225104
Narre Warren South,1560,8453.157615,589,19777.84239,118,4068.842387,815,19777.84239,802,7647.000002
Pearcedale - Tooradin,440.8836763,2149.133756,157.8637236,5878.219901,33.70874436,998.1282178,217.9387136,5878.219903,236.2949605,2093.94715
Clarinda - Oakleigh South,440.6991025,1981.431631,272.4321725,8400.537796,30.04766608,1554.177078,360.571993,8400.537794,261.4146949,3193.065316
Dandenong North,1724.3843,4536.13391,887.6167235,15063.22104,137.5918089,2799.603292,1147.84471,15063.22104,915.2846416,6002.442662
Mount Waverley - North,307.8340244,2762.603143,161.8221155,10004.13875,14.88019453,2033.004549,227.3879727,10004.13876,187.862456,4219.930168
Dandenong,2067,5777.988983,2009,19441.01101,350,3761.011017,2599,19441.01102,1082,6326.999999
